subgroup,auroc,auprc,sensitivity,specificity,brier_score,threshold_used,n,n_positive
Age < 50,0.4362745098039216,0.26637601802832656,0.3333333333333333,0.6470588235294118,0.19628654629402842,0.3127245662204717,46,12
Age 50–70,0.544891640866873,0.34636994232286533,0.4117647058823529,0.7105263157894737,0.2129351781322206,0.3127245662204717,55,17
Age > 70,0.5220588235294117,0.38071183698722433,0.6470588235294118,0.53125,0.2273943361295908,0.3127245662204717,49,17
Sex = Female,0.47132867132867134,0.3120896921475857,0.46153846153846156,0.5454545454545454,0.2191233370384131,0.3127245662204717,81,26
Sex = Male,0.5653061224489796,0.360365148438284,0.5,0.7346938775510204,0.20483982749327434,0.3127245662204717,69,20
P/F Mild (≥200),0.6035530621785881,0.397671944583209,0.5483870967741935,0.6956521739130435,0.2122751865234523,0.3127245662204717,100,31
P/F Moderate (100–200),0.3466666666666667,0.2551258295097978,0.3333333333333333,0.5142857142857142,0.21310839489604316,0.3127245662204717,50,15
Vent = None,0.5705128205128205,0.35134129724211227,0.5714285714285714,0.6730769230769231,0.20439151422629712,0.3127245662204717,73,21
Vent = Non-invasive,0.4524886877828055,0.3314571520772638,0.35294117647058826,0.6153846153846154,0.2120937424969058,0.3127245662204717,56,17
Vent = Invasive,0.4423076923076923,0.36966540404040404,0.5,0.5384615384615384,0.24214801327623683,0.3127245662204717,21,8
Smoking = Never,0.47585227272727276,0.3968643757917573,0.4090909090909091,0.65625,0.25202581125148393,0.3127245662204717,54,22
Smoking = Ex-smoker,0.5785714285714285,0.44288295148589263,0.6,0.7142857142857143,0.22701546746103057,0.3127245662204717,43,15
Smoking = Current,0.5126262626262627,0.21738849166766788,0.4444444444444444,0.5681818181818182,0.16060149978760271,0.3127245662204717,53,9
