subgroup,auroc,auprc,recall,precision,f2,f1,tp,fp,tn,fn,threshold_used,n,n_positive
Age < 40,0.9736128300330033,0.8056449204174698,0.693069306930693,0.958904109589041,0.7337526205450734,0.8045977011494253,70,3,6717,31,0.30999999999999994,6821,101
Age 40–60,0.96389884671539,0.8468664159787127,0.7334801762114538,0.7115384615384616,0.728984238178634,0.7223427331887202,333,135,4053,121,0.30999999999999994,4642,454
Age > 60,0.9642483138090167,0.910113715789277,0.8638888888888889,0.6895787139689579,0.822316234796404,0.7669543773119606,622,280,2537,98,0.30999999999999994,3537,720
Gender = Female,0.9784392114412571,0.877725906450849,0.7865671641791044,0.7401685393258427,0.7768278301886793,0.7626628075253257,527,185,7950,143,0.30999999999999994,8805,670
Gender = Male,0.9788272122483805,0.8890951808084563,0.8231404958677686,0.6812585499316005,0.7902253252935576,0.7455089820359282,498,233,5356,107,0.30999999999999994,6194,605
Smoking = never,0.9784250036274402,0.8917083860621472,0.821285140562249,0.715034965034965,0.7975819032761311,0.7644859813084112,409,163,4570,89,0.30999999999999994,5231,498
Smoking = No Info,0.9820119848693702,0.8561788792865558,0.7381974248927039,0.864321608040201,0.7603890362511052,0.7962962962962963,172,27,5182,61,0.30999999999999994,5442,233
Smoking = current,0.9758381189344717,0.8900661591478357,0.7737226277372263,0.762589928057554,0.7714701601164483,0.7681159420289855,106,33,1205,31,0.30999999999999994,1375,137
Smoking = former,0.9620675587767238,0.8796277439248618,0.8381742738589212,0.6474358974358975,0.7915360501567398,0.7305605786618445,202,110,1019,39,0.30999999999999994,1370,241
Smoking = not current,0.9765462001486847,0.904157224095533,0.8469387755102041,0.6058394160583942,0.7844990548204159,0.7063829787234043,83,54,797,15,0.30999999999999994,949,98
Smoking = ever,0.9671525247267049,0.8731184336381793,0.7794117647058824,0.6309523809523809,0.7443820224719101,0.6973684210526315,53,31,534,15,0.30999999999999994,633,68
